Sample,total_ARG_number,high_risk_ARG_number
SRR29449375,31,15
SRR29449376,16,11
SRR29449377,42,24
SRR29449378,79,34
SRR29449379,104,36
SRR29449380,55,32
SRR29449381,61,33
SRR29449905,82,34
SRR29449906,77,36
SRR29449907,56,26
SRR29449908,68,34
SRR29449909,48,29
SRR29449910,48,29
SRR29449911,83,35
SRR29449912,83,33
SRR29449914,82,35
SRR29449915,79,42
SRR29449916,91,37
SRR29449917,76,35
SRR29449918,86,40
SRR29449919,98,40
SRR29449920,85,32
SRR29449921,63,27
SRR29449922,82,30
SRR29472726,113,30
SRR29472727,97,37
SRR29472728,97,34
SRR29472729,84,37
SRR29472730,66,30
SRR29472731,91,32
SRR29472732,69,30
SRR29472733,79,25
SRR29472734,127,32
SRR29472735,122,42
SRR29472736,110,29
SRR29472737,116,35
SRR29472738,112,36
SRR29472739,101,35
SRR29472740,93,30
SRR29472741,118,36
SRR29472742,121,39
SRR29472743,167,43
SRR29472744,68,26
SRR29472745,59,24
SRR29536163,127,34
SRR29536164,153,46
SRR29536165,133,40
SRR29536166,123,43
SRR29536167,136,41
SRR29536168,132,37
SRR29536169,110,32
SRR29536170,11,6
SRR29536171,9,5
SRR29536172,14,9
SRR29536174,68,21
SRR29536175,2,2
SRR29536176,63,23
SRR29536177,37,16
SRR29536178,12,8
SRR29536179,126,42
SRR29536180,22,9
SRR29536181,34,17
SRR29536182,77,28
SRR29536183,61,31
SRR29536185,38,19
SRR29536186,54,26
SRR29536187,53,30
SRR29536188,118,40
SRR29536189,130,41
SRR29536190,130,37
SRR29536191,124,37
GCH119A,0,0
GCH250A,0,0
GCH263A,0,0
GCH323A,0,0
GCH324A,0,0
GCH340A,0,0
GCH346A,0,0
GCH74A,0,0
ICH108-1A,0,0
ICH111-1A,0,0
ICH112-1A,0,0
ICH119-1A,0,0
ICH127-1A,0,0
ICH206-1A,0,0
ICH221-1A,0,0
ICH250-1A,0,0
ICH277-1A,0,0
ICH287-1A,0,0
ICH294-1A,0,0
ICH295-1A,0,0
ICH306-1A,0,0
ICH323-1A,0,0
ICH324-1A,0,0
ICH325-1A,0,0
ICH326-1A,0,0
ICH328-1A,0,0
ICH340-1A,0,0
ICH346-1A,0,0
ICH93-1A,0,0
ICH95-1A,0,0
JCH108-1A,0,0
JCH111-1A,0,0
JCH127-1A,0,0
JCH206-1A,0,0
JCH210-1A,0,0
