MAG	p.adj	live_rate	Group
MAG16708	0.0014	0.377104377	MAGs from other families
MAG17916	0.0014	0.565656566	MAGs from other families
MAG2324	0.0014	0.569023569	MAGs from other families
MAG4373	0.0014	0.764309764	MAGs from other families
MAG5180	0.0014	0.848484848	MAGs from other families
MAG8994	0.0014	0.942760943	MAGs from Phocaeicola
MAG11016	0.0015	0.612794613	MAGs from Phocaeicola
MAG13922	0.0015	0.740740741	MAGs from other families
MAG14023	0.0015	0.771043771	MAGs from Phocaeicola
MAG16805	0.0015	0.740740741	MAGs from other families
MAG20579	0.0015	0.878787879	MAGs from other families
MAG22933	0.0015	0.542087542	MAGs from other families
MAG2735	0.0015	0.616161616	MAGs from other families
MAG5716	0.0015	0.343434343	MAGs from other families
MAG7375	0.0015	0.68013468	MAGs from other families
MAG15077	0.0016	0.447811448	MAGs from other families
MAG17883	0.0016	0.713804714	MAGs from other families
MAG21321	0.0016	0.713804714	MAGs from other families
MAG2273	0.0016	0.420875421	MAGs from other families
MAG22934	0.0016	0.821548822	MAGs from other families
MAG22954	0.0016	0.851851852	MAGs from Phocaeicola
MAG2600	0.0016	0.98989899	MAGs from other families
MAG2978	0.0016	0.572390572	MAGs from other families
MAG4631	0.0016	0.713804714	MAGs from other genus in Bacteroidaceae
MAG7243	0.0016	0.885521886	MAGs from other families
MAG11659	0.0017	0.818181818	MAGs from other families
MAG12043	0.0017	0.333333333	MAGs from other families
MAG12720	0.0017	0.383838384	MAGs from other families
MAG13500	0.0017	0.811447811	MAGs from other families
MAG14015	0.0017	0.723905724	MAGs from other families
MAG15250	0.0017	0.521885522	MAGs from other families
MAG17880	0.0017	0.676767677	MAGs from other families
MAG1829	0.0017	0.572390572	MAGs from Phocaeicola
MAG19819	0.0017	0.643097643	MAGs from Phocaeicola
MAG22748	0.0017	0.97979798	MAGs from Phocaeicola
MAG22950	0.0017	0.976430976	MAGs from other families
MAG3849	0.0017	0.65993266	MAGs from other genus in Bacteroidaceae
MAG4328	0.0017	0.68013468	MAGs from other families
MAG4720	0.0017	0.912457912	MAGs from Phocaeicola
MAG4795	0.0017	0.781144781	MAGs from other families
MAG539	0.0017	0.858585859	MAGs from Phocaeicola
MAG10798	0.0018	0.30976431	MAGs from other families
MAG14047	0.0018	0.427609428	MAGs from other families
MAG154	0.0018	0.848484848	MAGs from other families
MAG16040	0.0018	0.525252525	MAGs from other families
MAG17229	0.0018	0.239057239	MAGs from other families
MAG17738	0.0018	0.821548822	MAGs from other families
MAG20137	0.0018	0.858585859	MAGs from other families
MAG2466	0.0018	0.912457912	MAGs from other families
MAG2742	0.0018	0.407407407	MAGs from other families
MAG3048	0.0018	0.882154882	MAGs from other families
MAG3211	0.0018	0.582491582	MAGs from other families
MAG371	0.0018	0.484848485	MAGs from other genus in Bacteroidaceae
MAG5028	0.0018	0.461279461	MAGs from other families
MAG6249	0.0018	0.265993266	MAGs from Phocaeicola
MAG8527	0.0018	0.730639731	MAGs from other families
MAG13475	0.0019	0.882154882	MAGs from Phocaeicola
MAG13895	0.0019	0.565656566	MAGs from other families
MAG155	0.0019	0.909090909	MAGs from Phocaeicola
MAG15974	0.0019	0.451178451	MAGs from other families
MAG1750	0.0019	0.501683502	MAGs from other families
MAG18581	0.0019	0.589225589	MAGs from other families
MAG19305	0.0019	0.67003367	MAGs from other families
MAG20080	0.0019	0.875420875	MAGs from Phocaeicola
MAG20447	0.0019	0.993265993	MAGs from Phocaeicola
MAG3386	0.0019	0.427609428	MAGs from other families
MAG8188	0.0019	0.367003367	MAGs from other families
MAG10099	0.002	0.569023569	MAGs from Phocaeicola
MAG13415	0.002	0.62962963	MAGs from other families
MAG14457	0.002	0.255892256	MAGs from other families
MAG16321	0.002	0.875420875	MAGs from other genus in Bacteroidaceae
MAG16388	0.002	0.336700337	MAGs from other families
MAG1808	0.002	0.723905724	MAGs from Phocaeicola
MAG18999	0.002	0.589225589	MAGs from Phocaeicola
MAG3447	0.002	0.612794613	MAGs from other families
MAG4035	0.002	0.643097643	MAGs from other families
MAG5356	0.002	0.609427609	MAGs from other families
MAG5500	0.002	0.525252525	MAGs from other families
MAG5676	0.002	0.717171717	MAGs from other families
MAG8737	0.002	0.717171717	MAGs from Phocaeicola
MAG1563	0.0021	0.69023569	MAGs from other families
MAG16284	0.0021	0.868686869	MAGs from other families
MAG3263	0.0021	0.946127946	MAGs from other families
MAG13981	0.0022	0.323232323	MAGs from other families
MAG1672	0.0022	0.434343434	MAGs from Phocaeicola
MAG16816	0.0022	0.407407407	MAGs from other families
MAG17888	0.0022	0.713804714	MAGs from other families
MAG20373	0.0022	0.518518519	MAGs from other families
MAG21433	0.0022	0.585858586	MAGs from Phocaeicola
MAG4570	0.0022	0.713804714	MAGs from other families
MAG9579	0.0022	0.488215488	MAGs from other families
MAG13010	0.0023	0.986531987	MAGs from other genus in Bacteroidaceae
MAG15540	0.0023	0.242424242	MAGs from other families
MAG19324	0.0023	0.471380471	MAGs from Phocaeicola
MAG21446	0.0023	0.397306397	MAGs from other genus in Bacteroidaceae
MAG4454	0.0023	0.771043771	MAGs from other families
MAG5959	0.0023	0.400673401	MAGs from other families
MAG9504	0.0023	0.703703704	MAGs from other families
MAG1055	0.0024	0.616161616	MAGs from Phocaeicola
MAG11262	0.0024	0.912457912	MAGs from Phocaeicola
MAG13739	0.0024	0.471380471	MAGs from other families
MAG13818	0.0024	0.797979798	MAGs from other genus in Bacteroidaceae
MAG14224	0.0024	0.356902357	MAGs from other families
MAG17819	0.0024	0.38047138	MAGs from other families
MAG17871	0.0024	0.686868687	MAGs from other families
MAG18236	0.0024	0.771043771	MAGs from other families
MAG18892	0.0024	0.956228956	MAGs from other families
MAG19283	0.0024	0.471380471	MAGs from other genus in Bacteroidaceae
MAG20156	0.0024	0.595959596	MAGs from other families
MAG4301	0.0024	0.939393939	MAGs from other families
MAG12266	0.0025	0.562289562	MAGs from other families
MAG16466	0.0025	0.393939394	MAGs from other families
MAG2833	0.0025	0.491582492	MAGs from other families
MAG4254	0.0025	0.228956229	MAGs from other families
MAG5313	0.0025	0.508417508	MAGs from other families
MAG8207	0.0025	0.488215488	MAGs from other families
MAG13241	0.0026	0.397306397	MAGs from other families
MAG17072	0.0026	0.875420875	MAGs from other families
MAG1832	0.0026	0.936026936	MAGs from other families
MAG2703	0.0026	0.919191919	MAGs from other families
MAG3465	0.0026	0.848484848	MAGs from Phocaeicola
MAG3490	0.0026	0.535353535	MAGs from other families
MAG9327	0.0026	0.202020202	MAGs from other families
MAG1134	0.0027	0.437710438	MAGs from other families
MAG15709	0.0027	0.861952862	MAGs from other genus in Bacteroidaceae
MAG16988	0.0027	0.468013468	MAGs from other families
MAG19430	0.0027	0.744107744	MAGs from other families
MAG3275	0.0027	0.888888889	MAGs from other genus in Bacteroidaceae
MAG495	0.0027	0.521885522	MAGs from other families
MAG588	0.0027	0.441077441	MAGs from Phocaeicola
MAG932	0.0027	0.208754209	MAGs from other families
MAG11601	0.0028	0.38047138	MAGs from other families
MAG13236	0.0028	0.757575758	MAGs from other families
MAG14394	0.0028	0.727272727	MAGs from other families
MAG15836	0.0028	0.740740741	MAGs from other families
