ARG_type,ARG_count,MGE_Number_per_kb_Sum,ARG_count_log2,MGE_count_log2
Limosilactobacillus reuteri cat-TC,6,4.711676,2.807354922057604,2.51391414350378
LlmA 23S ribosomal RNA methyltransferase,9,0,3.321928094887362,0
LnuH,115,0,6.857980995127572,0
LnuP,435,222.988093,8.768184324776927,7.8072782317610345
LptD,25,0,4.700439718141092,0
MCR-1.1,16,0.040244,4.087462841250339,0.05692196711835153
Mef(En2),829,0.111966,9.696967526234287,0.15311267620773733
Morganella morganii gyrB conferring resistance to fluoroquinolones,21,0,4.459431618637297,0
Mrx,57,0,5.857980995127572,0
Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid,2,0,1.584962500721156,0
Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,2,0,1.584962500721156,0
Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin,56,0,5.832890014164741,0
NDM-5,10,0,3.4594316186372973,0
Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones,1,0,1,0
OXA-1,69,0.996067,6.129283016944966,0.9971601470005577
OXA-10,141,20.849615,7.149747119504682,4.449535953904575
OXA-136,92,0,6.539158811108031,0
OXA-140,7,0,3,0
OXA-184,5,0,2.584962500721156,0
OXA-193,1,0,1,0
OXA-21,34,0,5.129283016944966,0
OXA-334,1,0,1,0
OXA-347,531,0.306937,9.055282435501189,0.38618959868638314
OXA-58,4,0,2.321928094887362,0
OXA-820,5,0,2.584962500721156,0
OXA-912,3,0,2,0
OmpA,25,0,4.700439718141092,0
PC1 beta-lactamase (blaZ),1,0.635728,1,0.7099328670596912
PmrF,224,0,7.813781191217037,0
QnrA3,1,0,1,0
QnrB6,13,0.333778,3.807354922057604,0.41551855786291947
QnrD1,18,6.64838,4.247927513443585,2.9351542035613924
QnrS1,203,0.23015,7.672425341971495,0.29883424325705554
QnrVC5,2,0,1.584962500721156,0
RCP-1,2,0,1.584962500721156,0
RanA,47,0,5.584962500721156,0
RanB,54,0,5.78135971352466,0
RbpA,10,0,3.4594316186372973,0
Rhodobacter sphaeroides ampC beta-lactamase,18,0,4.247927513443585,0
SAT-2,11,4.436403,3.584962500721156,2.4426524069057383
SAT-4,737,132.292747,9.527477006060396,7.058454469437791
SHV-11,17,0,4.169925001442312,0
Sed-1,1,0,1,0
Staphylococcus intermedius chloramphenicol acetyltransferase,15,14.24016,4,3.929806144043718
Streptococcus suis chloramphenicol acetyltransferase,484,245.616462,8.92184093707449,7.946125294678024
Streptomyces venezuelae rox,7,0,3,0
TEM-1,379,156.942302,8.569855608330949,7.3032538126014135
TRU-1,2,0,1.584962500721156,0
TolC,201,0,7.658211482751795,0
VEB-17,54,8.370456,5.78135971352466,3.2281192563082888
Vibrio anguillarum chloramphenicol acetyltransferase,1525,19.224329,10.57553924683453,4.338019932799419
Vibrio cholerae varG,3,0,2,0
YojI,134,0,7.076815597050831,0
aad(6),322,88.494292,8.335390354693924,6.483723764237426
aadA11,4,0,2.321928094887362,0
aadA15,5,2.871507,2.584962500721156,1.9528952506655421
aadA16,91,2.57589,6.523561956057013,1.8383023576355066
aadA17,3,3.042013,2,2.0150739617486653
aadA2,231,118.989665,7.857980995127572,6.906766338147208
