Sample2,Sample1,Distance,Group1,Group2,Type
CCY11A,SRR29449358,0.2218544289555653,meat_type,meat_type,meat_type
CCY11A,SRR29449362,0.2309243665315537,meat_type,meat_type,meat_type
CCY11A,CCY44A,0.23425198496379818,meat_type,meat_type,meat_type
CCY11A,CCY41B,0.27735190314010333,meat_type,meat_type,meat_type
CCY11A,SRR28497704,0.27491597172447607,meat_type,meat_type,meat_type
CCY11A,SRR29449369,0.34384030453577175,meat_type,meat_type,meat_type
CCY11A,SRR28497700,0.23227307192998572,meat_type,meat_type,meat_type
CCY11A,SRR29449378,0.24892368503910128,meat_type,meat_type,meat_type
CCY11A,SRR29449359,0.20884382192878878,meat_type,meat_type,meat_type
CCY11A,SRR28497702,0.31010834163047435,meat_type,meat_type,meat_type
CCY11A,CCY26A,0.38363122558340146,meat_type,meat_type,meat_type
CCY11A,SRR29536191,0.3848897425925595,meat_type,meat_type,meat_type
CCY11A,CCY8A,0.29401194099154015,meat_type,meat_type,meat_type
CCY11A,CCY47A,0.20688991985113744,meat_type,meat_type,meat_type
CCY11A,CCY33B,0.3424123433163371,meat_type,meat_type,meat_type
CCY13A,SRR29449359,0.41240183815636094,meat_type,meat_type,meat_type
CCY13A,SRR28497699,0.30065787687985757,meat_type,meat_type,meat_type
CCY13A,SRR29536167,0.38968647795269756,meat_type,meat_type,meat_type
CCY13A,SRR29536179,0.3835140257367294,meat_type,meat_type,meat_type
CCY13A,CCY37A,0.26991445579694123,meat_type,meat_type,meat_type
CCY13A,SRR29536188,0.4236923860456696,meat_type,meat_type,meat_type
CCY13A,SRR28497700,0.3394035570119534,meat_type,meat_type,meat_type
CCY13A,SRR29536181,0.6484567941877515,meat_type,meat_type,meat_type
CCY13A,SRR28497702,0.2930492079781599,meat_type,meat_type,meat_type
CCY13A,CCY20A,0.2660836699506459,meat_type,meat_type,meat_type
CCY13A,SRR28497695,0.2689463123124698,meat_type,meat_type,meat_type
CCY13A,SRR29536174,0.7386791183358568,meat_type,meat_type,meat_type
CCY13A,CCY50A,0.2562221349111511,meat_type,meat_type,meat_type
CCY13A,SRR28497697,0.3343889203971114,meat_type,meat_type,meat_type
CCY13A,SRR29449360,0.32417049233657913,meat_type,meat_type,meat_type
CCY13A,CCY8A,0.2679162315106884,meat_type,meat_type,meat_type
CCY13A,SRR29536180,0.25622177498630677,meat_type,meat_type,meat_type
CCY13A,SRR29449381,0.2258852812781536,meat_type,meat_type,meat_type
CCY13A,CCY47A,0.33848758288176095,meat_type,meat_type,meat_type
CCY13A,SRR28497696,0.35415581498680465,meat_type,meat_type,meat_type
CCY13A,CCY11A,0.24661367722549557,meat_type,meat_type,meat_type
CCY13A,SRR29449358,0.3181018368058526,meat_type,meat_type,meat_type
CCY13A,CCY6A,0.24955003614363802,meat_type,meat_type,meat_type
CCY13A,CCY10A,0.15902202722500505,meat_type,meat_type,meat_type
CCY13A,CCY26A,0.2793740719383269,meat_type,meat_type,meat_type
CCY13A,CCY33B,0.25198991676378146,meat_type,meat_type,meat_type
CCY13A,CCY39A,0.18969251071702228,meat_type,meat_type,meat_type
CCY13A,CCY28A,0.31486172135871093,meat_type,meat_type,meat_type
CCY13A,CCY34B,0.2990940975638218,meat_type,meat_type,meat_type
CCY13A,SRR29449380,0.259296664021226,meat_type,meat_type,meat_type
CCY13A,SRR29536166,0.34747491000382036,meat_type,meat_type,meat_type
CCY13A,SRR29536175,0.9125660323984868,meat_type,meat_type,meat_type
CCY13A,SRR29536191,0.37487505260933135,meat_type,meat_type,meat_type
CCY13A,SRR29536171,0.8011572511802029,meat_type,meat_type,meat_type
CCY13A,SRR28497698,0.24856013450154402,meat_type,meat_type,meat_type
CCY13A,CCY44A,0.37624996989734416,meat_type,meat_type,meat_type
CCY13A,SRR29536169,0.39019851962639884,meat_type,meat_type,meat_type
CCY13A,CCY30A,0.19096761586776112,meat_type,meat_type,meat_type
CCY13A,SRR29536164,0.42124415936615817,meat_type,meat_type,meat_type
