Breed,Best_Hit_ARO,Total_Abundance
JRD,Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones,0
JRD,OXA-1,0.041176625
JRD,OXA-10,0.5477381875
JRD,OXA-136,0.011340625
JRD,OXA-140,0.0026580625
JRD,OXA-184,0
JRD,OXA-193,0
JRD,OXA-21,0
JRD,OXA-334,0
JRD,OXA-347,0.0396855
JRD,OXA-58,0.0075102500000000004
JRD,OXA-820,0
JRD,OXA-912,0
JRD,OmpA,0
JRD,PC1 beta-lactamase (blaZ),0
JRD,PmrF,0.5275942499999999
JRD,QnrA3,0
JRD,QnrB6,0
JRD,QnrD1,0
JRD,QnrS1,1.8051061875
JRD,QnrVC5,0
JRD,RCP-1,0
JRD,RanA,0.0015303125
JRD,RanB,0
JRD,RbpA,0
JRD,Rhodobacter sphaeroides ampC beta-lactamase,0
JRD,SAT-2,0.0198880625
JRD,SAT-4,3.538832375
JRD,SHV-11,0
JRD,Sed-1,0
JRD,Staphylococcus intermedius chloramphenicol acetyltransferase,0
JRD,Streptococcus suis chloramphenicol acetyltransferase,10.103679875000001
JRD,Streptomyces rimosus otr(A),0.0021856875
JRD,Streptomyces venezuelae rox,0
JRD,TEM-1,0.99092925
JRD,TRU-1,0
JRD,TolC,0.56282925
JRD,VEB-17,0.00261525
JRD,Vibrio anguillarum chloramphenicol acetyltransferase,0.200338
JRD,Vibrio cholerae varG,0
JRD,YojI,0.0567341875
JRD,aad(6),2.5287228125
JRD,aadA11,0.0043586250000000005
JRD,aadA15,0
JRD,aadA16,0.0390225625
JRD,aadA17,9.57375e-4
JRD,aadA2,0.0321515625
JRD,aadA27,0
JRD,aadA5,0.33232612499999997
JRD,aadA7,0
JRD,aadA9,0.009452374999999999
JRD,aadK,0.008854062499999999
JRD,aadS,0.1100254375
JRD,abeS,0
JRD,acrB,0.7721030625
JRD,acrD,0.5035349375
JRD,adeF,1.4531428124999999
JRD,adeL,0
JRD,almE,0
JRD,almF,0
JRD,almG,0
JRD,aphA15,0
JRD,apmA,0
JRD,armA,0
JRD,arr-2,0.744096125
JRD,arr-3,0.08145
JRD,arr-8,0.0176216875
JRD,bacA,0
JRD,baeR,0.85586
JRD,baeS,0.0718345
JRD,catA4,0
JRD,catA8,9.984683875
JRD,catB11,0.005005875
JRD,catB2,0
JRD,catB3,0.0631266875
JRD,catB8,0.0084250625
JRD,catII from Escherichia coli K-12,0
JRD,catIII,7.133125e-4
JRD,catP,0.008899500000000001
JRD,catQ,0.020749125
JRD,catS,0.0245074375
JRD,cepA,0
JRD,cfr(D),0.0042139375
JRD,cfrA,0.031851375
JRD,cfrC,0.0054801875
JRD,cfrE,0.731283
JRD,clbC,0
JRD,clcD,0.0747450625
JRD,cmeR,0
JRD,cmlA5,0.219359875
JRD,cphA3,0
JRD,cpxA,0.5565291875
JRD,dfrA1,0.0451175
JRD,dfrA10,0
JRD,dfrA12,0.1977296875
JRD,dfrA14,0.920801625
JRD,dfrA15,0.0049075
JRD,dfrA16,0
JRD,dfrA17,0.5701455
JRD,dfrA19,0.007244250000000001
JRD,dfrA20,0.015090375
JRD,dfrA27,0.0580201875
JRD,dfrA6 from Proteus mirabilis,0.004082125
JRD,dfrD,0
JRD,dfrE,0.0047819375
JRD,dfrF,0
JRD,dfrG,0.40303075
JRD,dfrL,0
JRD,efmA,0.5810378125
JRD,efrA,0
JRD,emrA,0.7456454375
JRD,emrK,0.07341400000000001
JRD,emrR,2.474783
JRD,emrY,0.4429851875
JRD,emtA,7.69e-4
JRD,eptA,0.829769
JRD,eptB,0
JRD,erm(45),0
JRD,evgA,0.6972305625
JRD,evgS,0.5181364374999999
JRD,fexA,51.9830379375
JRD,fexB,5.985848125
JRD,fosA5,0
JRD,fusC,0
JRD,fusD,0
JRD,gadX,1.9094563125000001
JRD,golS,0
JRD,kdpE,0.0901033125
JRD,leuO,0.12223331250000001
JRD,linG,0
JRD,lnuA,13.7201904375
JRD,lnuB,13.9625829375
JRD,lnuC,35.8191738125
JRD,lnuD,0.051221625
JRD,lnuE,0
JRD,lnuF,4.606875e-4
JRD,lnuG,0.03694
JRD,lsaE,0
JRD,marA,1.5458129999999999
JRD,mdeA,0.00445
JRD,mdtA,0.3517063125
JRD,mdtB,0.202410875
JRD,mdtC,0
JRD,mdtE,0.8631238125
JRD,mdtF,1.2398279375
JRD,mdtG,0.3306506875
JRD,mdtH,0.1498009375
JRD,mdtM,0.34160681249999997
JRD,mdtN,1.6463441875
JRD,mdtO,0.4120015
JRD,mdtP,0.46318
JRD,mecA,6.506875e-4
JRD,mecB,2.559375e-4
JRD,mecI,0
JRD,mecR1,0
JRD,mefF,0.0347564375
JRD,mefH,0.089868625
JRD,mphA,0.0021854375
JRD,mphC,0.008181875
JRD,mphE,0.09687899999999999
JRD,mphF,0
JRD,mphG,0.060061125
JRD,mphK,0
JRD,mphO,0.0057128125
JRD,msbA,0.665972
JRD,msr(G),0.0073374375
JRD,msr(I),0
JRD,msrA,0.01398475
JRD,nimA,0.7272817500000001
JRD,nimB,0.054855375000000005
JRD,nimC,0
JRD,nimD,0.0088639375
JRD,nimE,0.00830975
JRD,nimF,0.055697937499999996
JRD,nimG,0.3885010625
JRD,nimH,0.0069575625
JRD,nimI,0.082191
JRD,nimJ,0.45253231250000003
JRD,nimK,0.0686230625
JRD,norC,0
JRD,npmA,0.0017694375
JRD,oqxA,5.255e-4
JRD,patB,0.0011350625
JRD,poxtA,6.9675122499999995
JRD,qacEdelta1,0.7943783125
JRD,qacG,60.4068895625
JRD,qacJ,5.9710448125
JRD,qacL,0.0608085
JRD,ramA,0
JRD,rgt1438,0
JRD,rmtB,0
JRD,rsmA,0.0288575
JRD,salC,0.0073048125000000005
JRD,salD,0
JRD,salE,0.0104864375
JRD,sdiA,0
JRD,sdrM,0.0395805
JRD,sepA,0.082367375
JRD,spd,0
JRD,sul1,0.1971139375
JRD,sul2,0.977773625
JRD,sul3,0
JRD,sul4,0
JRD,tet(32),1.9642765625
JRD,tet(33),0.055772625
JRD,tet(36),0.1414458125
JRD,tet(40),2.14237325
JRD,tet(44),2.0879704375
JRD,tet(45),75.3148091875
JRD,tet(59),0.0153708125
JRD,tet(A),2.707957125
JRD,tet(B),0.1514553125
JRD,tet(C),0.0051734375
JRD,tet(D),0
JRD,tet(K),0.0433913125
JRD,tet(M),45.62324325
JRD,tet(O),37.224932875
JRD,tet(O/32/O),0.31258225
