IID	class	class1	class2	color1	color
MEDP2815	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2816	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2818	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2819	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2820	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2821	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2823	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2861	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2862	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2866	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2867	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2868	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2869	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2870	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2871	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP3342	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP4156	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP4169	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP4190	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP4192	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP4202	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP4208	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0010795HN	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0011591P	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0048962P	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0052448N	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0052792HN	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0052998HN	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0054160P	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0054372N	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0055238N	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0055248HN	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0063695HN	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0063832HN	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0140497N	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0154544HN	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0154728P	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0155523N	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0168667HN	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0169676HN	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MW0193994P	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
LIPID-P-0233	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0169	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0174	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-1422	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0178	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0196	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0201	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0216	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0217	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0218	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0219	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0239	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0252	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0243	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0245	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0246	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0240	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0257	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-1672	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-1639	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-1678	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-1693	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-1691	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0274	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0272	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0273	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0275	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0276	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0277	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0282	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-1273	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-1761	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-1111	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0838	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0837	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0836	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
LIPID-P-0835	Quantitative lipidomics	Glycerolipids	GL	#03C088	#3ABF99
