Sample,Total_high_risk_ARG_abundance,Total_ARG_abundance,source
MCH326B,58.340411,410.493393,Duck
MCH328B,29.944812,124.795071,Duck
MCH340B,37.343366,135.148781,Duck
MCH346B,21.980002,86.336856,Duck
MCH74B,35.269929,130.503071,Duck
MCH95A,2.776001,12.177798,Duck
SHCC100A,200.239114,355.772719,Duck
SHCC101A,187.583565,372.281957,Duck
SHCC102A,247.270081,458.006573,Duck
SHCC103A,259.844981,429.605958,Duck
SHCC104A,246.521273,413.012526,Duck
SHCC105A,287.493368,507.504935,Duck
SHCC106A,282.410697,533.639775,Duck
SHCC107A,141.199486,286.128207,Duck
SHCC108A,235.039452,431.723055,Duck
SHCC109A,137.699636,267.994857,Duck
SHCC10A,248.150784,475.216334,Duck
SHCC110A,245.736499,481.433032,Duck
SHCC111A,219.292119,431.859787,Duck
SHCC112A,266.066285,486.868639,Duck
SHCC113A,242.289391,418.556285,Duck
SHCC114A,246.692764,468.068734,Duck
SHCC115A,246.644864,511.798511,Duck
SHCC116A,228.421772,432.457633,Duck
SHCC117A,244.114776,425.989717,Duck
SHCC118A,20.333602,45.915232,Duck
SHCC119A,221.011607,415.801846,Duck
SHCC11A,216.95046,397.572174,Duck
SHCC120A,45.277366,119.230577,Duck
SHCC121A,216.41467,397.721557,Duck
SHCC122B,257.22192,516.193249,Duck
SHCC123A,173.714335,356.19134,Duck
SHCC124B,278.867258,487.927927,Duck
SHCC125A,208.776784,381.46843,Duck
SHCC126A,257.724586,459.561684,Duck
SHCC127A,50.214159,150.106881,Duck
SHCC128A,246.610839,442.313877,Duck
SHCC129A,66.459364,162.339032,Duck
SHCC12A,241.657513,416.318264,Duck
SHCC130A,190.03658,365.579493,Duck
SHCC131A,184.600118,343.580593,Duck
SHCC132A,220.167788,375.323481,Duck
SHCC133A,160.771545,289.022609,Duck
SHCC134A,137.37774,274.035095,Duck
SHCC135A,253.712279,470.040814,Duck
SHCC136A,220.653009,441.901901,Duck
SHCC137A,224.806386,397.389051,Duck
SHCC138A,266.503236,526.24334,Duck
SHCC139A,296.626068,523.103939,Duck
SHCC13A,210.616406,405.163943,Duck
SHCC140A,200.798974,370.939178,Duck
SHCC141A,295.17086,489.45502,Duck
SHCC142B,230.923226,472.760694,Duck
SHCC143A,246.38294,435.086051,Duck
SHCC144A,199.70466,393.277345,Duck
SHCC145A,153.609902,283.899967,Duck
SHCC146A,245.688249,488.418835,Duck
SHCC147A,225.797556,396.762896,Duck
SHCC148A,247.003628,491.245889,Duck
SHCC149A,254.151645,465.25627,Duck
SHCC14A,37.972176,134.791515,Duck
SHCC150A,229.516247,414.975485,Duck
