Sample,total_abundance,gut_locations
SHCC234B,205.401214,large_intestine
SHCC298A,205.368332,large_intestine
FDM18A,204.967127,Feces
CCH323-3A,204.916527,large_intestine
SHCC165A,204.580669,large_intestine
SHCC61A,204.524012,large_intestine
SHCC132A,204.336252,large_intestine
SHCC238A,204.121726,large_intestine
SHCC150A,204.108461,large_intestine
SRR29429246,203.952537,large_intestine
SHCC268A,203.807468,large_intestine
SHCC17A,203.664614,large_intestine
SHCC142B,203.530795,large_intestine
FDM20B,202.6927,Feces
SHCC282A,202.390456,large_intestine
SHCC156A,201.738621,large_intestine
SHCC214A,201.406593,large_intestine
SHCC28B,201.022161,large_intestine
SHCC6A,200.900757,large_intestine
SHCC218A,200.896703,large_intestine
SHCC70A,200.492342,large_intestine
SHCC176A,200.197441,large_intestine
SHCC136A,200.059101,large_intestine
SHCC121A,199.971374,large_intestine
SRR29409651,198.941974,large_intestine
SHCC279A,198.187099,large_intestine
SHCC102A,197.786721,large_intestine
SHCC137A,197.663699,large_intestine
SHCC216A,197.06362,large_intestine
SHCC247A,196.356816,large_intestine
SHCC222A,196.281177,large_intestine
FM7B,195.651432,Feces
SHCC263A,195.551158,large_intestine
SHCC200A,195.366656,large_intestine
CCS29B,195.323855,large_intestine
BKDN170796004-1A,194.965216,Feces
SHCC111A,194.913978,large_intestine
SRR29429239,194.903707,large_intestine
CCY41B,194.875651,large_intestine
SHCC273B,194.680156,large_intestine
SHCC119A,194.542892,large_intestine
SRR29409649,194.430442,large_intestine
FJY75A,194.334198,Feces
SRR29354204,194.03097,large_intestine
CCY46B,193.991845,large_intestine
SHCC147A,193.513354,large_intestine
SHCC293A,193.185868,large_intestine
CCH250-2A,192.84538,large_intestine
SHCC79A,192.284321,large_intestine
SHCC11A,191.883237,large_intestine
FJY5A,191.813963,Feces
FJY74A,191.530873,Feces
SHCC24A,191.244113,large_intestine
SHCC30A,191.121605,large_intestine
BKDN170794159-1A,190.207787,Feces
SHCC163A,189.522906,large_intestine
SHCC52A,189.429901,large_intestine
SRR29409654,188.908009,large_intestine
CCS20A,188.76516,large_intestine
SRR29449363,188.628301,large_intestine
CCH119-1A,188.591301,large_intestine
SHMC294B,188.407306,Stomach
SHCC13A,188.065097,large_intestine
SRR29472733,187.986901,large_intestine
SHCC194A,187.742668,large_intestine
CCS25B,187.659772,large_intestine
SHCC257A,187.405265,large_intestine
SHCC60A,187.021954,large_intestine
SRR29429275,186.571017,large_intestine
SHCC63A,186.312732,large_intestine
SRR29536171,185.514937,large_intestine
SHCC154A,184.991061,large_intestine
SHCC182A,184.787025,large_intestine
SHCC211A,184.536106,large_intestine
SRR29409653,183.904452,large_intestine
FJY80B,183.309758,Feces
SHCC125A,183.145913,large_intestine
CCH74-3A,182.83686,large_intestine
FDM29B,182.692719,Feces
FM18B,182.293081,Feces
SHCC68A,181.821421,large_intestine
SHCC94A,181.552988,large_intestine
FDM8B,181.484828,Feces
SHCC152A,181.444306,large_intestine
SHCC260A,181.091593,large_intestine
SRR29409655,180.719033,large_intestine
SRR29409647,180.269899,large_intestine
SHCC144A,180.220233,large_intestine
SHCC223A,179.051671,large_intestine
FM2B,177.867011,Feces
SHCC174A,177.198868,large_intestine
FDM17B,176.832522,Feces
CCS28B,176.824376,large_intestine
SHCC101A,176.567754,large_intestine
BKDN170793998-1A,176.417384,Feces
SHCC157B,175.605825,large_intestine
BKDN170794553-1A,175.078426,Feces
SHCC255B,174.388687,large_intestine
CCS30A,174.211691,large_intestine
SHCC187A,174.209664,large_intestine
SHCC159A,174.096413,large_intestine
ICH247-1A,173.261469,small_intestine
SRR21163525,172.656408,large_intestine
SHCC140A,172.57364,large_intestine
FH95B,172.50243,Feces
SRR21163461,172.423846,small_intestine
SRR27680232,172.358673,small_intestine
FH93B,171.817579,Feces
SRR29429274,171.777971,large_intestine
CCS15B,171.32353,large_intestine
SHCC84A,171.310153,large_intestine
SRR29354206,169.749483,large_intestine
SHCC96A,169.654403,large_intestine
FH340B,169.34684,Feces
FDM34B,169.295231,Feces
FM13B,168.062166,Feces
SHCC97A,168.056572,large_intestine
SHCC131A,167.746753,large_intestine
SHCC130A,167.491264,large_intestine
SHCC100A,167.486665,large_intestine
SRR29472744,167.015444,large_intestine
CCS24A,165.883554,large_intestine
BKDN170795916-1A,165.760434,Feces
SRR29472745,165.74349,large_intestine
FM15B,165.391468,Feces
SHCC169A,165.379027,large_intestine
SHCC153A,165.248205,large_intestine
SHCC280A,165.03065,large_intestine
SHCC198A,164.066207,large_intestine
FJY73A,163.342991,Feces
FH227B,163.010203,Feces
SRR29354216,162.905246,large_intestine
SHCC215A,161.380543,large_intestine
FJY20A,160.769937,Feces
FH295A,158.744097,Feces
SRR27680214,158.491996,small_intestine
SRR21163465,158.422323,small_intestine
SHCC170A,158.177427,large_intestine
SHCC64A,157.253308,large_intestine
BKDN170794163-1A,157.045463,Feces
SRR29354217,156.824367,large_intestine
FM4B,156.780512,Feces
FH206B,155.53865,Feces
SHCC277A,155.347819,large_intestine
BKDN170794158-1A,155.022131,Feces
SRR29354205,154.195267,large_intestine
CCS17A,152.248397,large_intestine
FJY19A,151.975979,Feces
CCS18A,151.974699,large_intestine
BKDN170794394-1A,150.453861,Feces
FH324B,150.449765,Feces
SRR29409645,150.173863,large_intestine
SHCC20A,149.81656,large_intestine
SRR29472731,149.016683,large_intestine
SHCC72A,148.568201,large_intestine
SHCC160B,147.165777,large_intestine
GCH212B,144.281051,Stomach
FM6B,144.164607,Feces
SHCC123A,143.026008,large_intestine
FM21A,138.865375,Feces
FH323B,138.729323,Feces
SHCC133A,137.885398,large_intestine
BKDN170795578-1A,137.428142,Feces
SRR27680222,136.95476,small_intestine
SRR21163451,136.947661,small_intestine
SRR29409658,136.040689,large_intestine
SHCC145A,134.675658,large_intestine
SHCC23A,134.470622,large_intestine
SRR29409660,134.092328,large_intestine
CCH287A,132.915273,large_intestine
FDM23A,130.677817,Feces
SHCC183A,130.220213,large_intestine
FDM27B,130.03152,Feces
SHCC48A,129.116237,large_intestine
SRR29472730,128.298515,large_intestine
SRR29409659,127.208586,large_intestine
SHCC62A,126.910217,large_intestine
FDM14A,126.771005,Feces
SHCC107A,126.299376,large_intestine
FJY78B,123.424964,Feces
SHCC134A,123.370311,large_intestine
FDM24B,121.363275,Feces
SHCC158A,121.247514,large_intestine
FH180A,121.073834,Feces
SRR29472732,120.891062,large_intestine
FH127B,120.24441,Feces
FDM30A,119.096355,Feces
FJY61B,118.724127,Feces
FH306B,117.801809,Feces
FJY32B,117.520029,Feces
SHCC275A,115.216519,large_intestine
GCH186B,115.16181,Stomach
BKDN170794156-1A,114.949245,Feces
CCS27A,114.670885,large_intestine
FM8B,112.90123,Feces
