ARG_type,Renamed_Drug_Class,Kingdom,Phylum,phylum_without_unknown,Class,Order,Family,Genus,genus_without_unknown,Species,orf_count
APH(3')-IIIa,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Peptostreptococcaceae,g_Peptoclostridium,g_Peptoclostridium,s_Peptoclostridium sp. AF21-18,37
clcD,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,NA,NA,NA,NA,Other,NA,37
lnuG,lincosamide,k_Bacteria,p_Firmicutes,p_Firmicutes,NA,NA,NA,NA,Other,NA,37
tet(32),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Erysipelotrichia,o_Erysipelotrichales,f_Coprobacillaceae,g_Coprobacillus,g_Coprobacillus,s_Coprobacillus sp. AF33-1AC,37
tet(45),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Lactobacillaceae,g_Ligilactobacillus,g_Ligilactobacillus,s_Ligilactobacillus salivarius,37
vanG,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_unknown,g_Gemmiger,g_Gemmiger,s_Gemmiger sp. An50,37
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,fluoroquinolone,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Epsilonproteobacteria,o_Campylobacterales,f_Campylobacteraceae,g_Campylobacter,g_Campylobacter,s_Campylobacter sp. 2018MI01,36
TEM-1,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,NA,NA,NA,Other,NA,36
VEB-17,multidrug,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,36
lnuC,lincosamide,k_Bacteria,p_Deferribacteres,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Mucispirillum,g_Mucispirillum,s_Mucispirillum schaedleri,36
mdtE,multidrug,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,36
vanYG,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Erysipelotrichia,o_Erysipelotrichales,f_Erysipelotrichaceae,g_Faecalitalea,g_Faecalitalea,s_Faecalitalea cylindroides,36
