traits	g__Phocaeicola	s__Phocaeicola_coprocola	MAG8727	MAG19359	MAG21658
LIPID-P-2420	-0.013972534	-0.064882869	0.0654122778650393	0.00292417183704536	-0.019876761
LIPID-P-2422	-0.054865651	-0.037323306	-0.036431857	-0.029008989	-0.018863791
LIPID-P-2425	-0.02708903	-0.043392704	0.0564372819391974	0.0249172649557023	0.0113530860423855
LIPID-P-2429	-0.069926938	0.0264019057272111	0.0650489867254289	0.000399814064717594	0.0269972680332838
LIPID-P-2405	-0.036169297	-0.084219669	0.0235631275367668	-0.040860719	-0.045160147
LIPID-P-2434	-0.024629252	-0.053218864	0.0443613642048848	-0.012914736	-0.027957863
LIPID-P-2437	0.0402319114183521	0.0435757070910328	0.0257388476528561	0.0870603233392007	0.0600762790759201
LIPID-P-2438	-0.025709222	-0.043499591	-0.119224464	-0.000346768	-0.022851221
LIPID-P-2439	-0.015016866	-0.069493153	-0.040758305	0.0116488121011115	-0.039307674
LIPID-P-2445	-0.03460413	-0.011369162	0.0611501423953833	0.0517081848844752	0.00348400099327374
LIPID-P-2432	-0.062544825	-0.10661194	0.0151314600032812	-0.056005704	-0.068799776
LIPID-P-2103	-0.090686989	0.00435296672091587	-0.037383879	-0.072757357	-0.103891218
LIPID-P-2092	0.0641494592316216	-0.035202365	-0.059528202	0.0345747865475664	-0.013045722
LIPID-P-2076	-0.019967425	-0.025046853	-0.003516975	0.0282714408868209	-0.02700569
LIPID-P-2075	0.00897893270774626	0.0493589177805217	-0.040754602	0.0823596125539666	0.017121805042409
LIPID-P-2074	0.0149659675083404	-0.001188477	-0.026658935	0.0453698623080634	0.00519694719225088
LIPID-P-2059	-0.051521167	0.0121346321824096	-0.027791457	0.0100947260291588	-0.03582651
LIPID-P-2061	-0.057032071	-0.011553234	-0.036801651	0.0143263617964015	-0.013555016
LIPID-P-2055	-0.068595252	0.0211635388659314	-0.032190568	0.0111980367998713	-0.0408625
LIPID-P-2047	-0.00730669	-0.009463394	-0.069428659	0.00263330607630916	-0.004835262
LIPID-P-0131	-0.057174643	0.00881066226156931	0.025442835452802	0.0168869987554851	0.00144548474683635
LIPID-P-2108	0.0218747252645558	0.0913118925526333	-0.027113425	0.0580274752503365	0.0460959436876726
LIPID-P-2071	-0.016709905	-0.006025413	-0.006927796	0.0222421753727063	-0.030919366
LIPID-P-0125	-0.071146647	-0.076872721	-0.031464865	-0.074784225	-0.097644775
LIPID-P-0124	-0.025146564	-0.018954781	-0.033037067	0.0462693281326859	-0.016011014
LIPID-P-0123	-0.065252155	-0.085236479	-0.030616978	-0.018462793	-0.061473892
LIPID-P-0119	-0.019428828	-0.036359708	-0.012484588	-0.011800538	-0.04868155
LIPID-P-0118	-0.041270701	-0.020381092	0.00819886872080892	-0.008208697	-0.049007207
LIPID-P-0117	-0.065074936	-0.063417971	-0.035750585	-0.005699088	-0.067346952
LIPID-P-0116	-0.018005987	-0.019856839	-0.046880497	0.0326737967964141	-0.018409929
LIPID-P-0115	-0.028588681	-0.011751506	-0.037789773	0.0399142302963433	-0.016218761
LIPID-P-0114	-0.061086819	-0.023298031	-0.032913031	0.0025077561208764	-0.048216459
LIPID-P-0113	-0.089009194	-0.042324533	-0.040396379	-0.016261499	-0.079255901
LIPID-P-0110	-0.019864703	0.0263290285272595	-0.014955588	0.0425519375703522	0.0135830896723727
LIPID-P-0109	-0.055495403	-0.003304229	-0.055063167	0.0270991008048187	-0.03037877
LIPID-P-0108	-0.07806651	-0.00797693	-0.056767273	-0.015289066	-0.065798208
LIPID-P-0052	0.00938195514466701	-0.077538333	0.0144784199939636	0.0364940363997296	-0.009316792
LIPID-P-0161	-0.061853533	-0.075532244	-0.111186657	-0.083624146	-0.052005968
LIPID-P-0160	-0.074215356	-0.066446655	-0.09188981	-0.075281328	-0.03836018
LIPID-P-0233	0.0523262862245913	0.00268766486297527	0.0142377532293675	0.038425235621949	-0.013417454
LIPID-P-0169	0.13632615666514	0.0402807322284613	-0.048510552	0.0610654598730313	0.0375544589488107
LIPID-P-0174	0.120922000583018	0.00181591473784048	-0.052300128	0.0572025981446243	0.0361619934005854
LIPID-P-1422	0.11049616642837	-0.013022115	-0.069048683	0.0561544181661497	0.0110578421711052
LIPID-P-0178	0.112761143269618	-0.010064688	-0.050439126	0.0219976493869302	-0.009452951
LIPID-P-0196	0.048852242072581	-0.019291405	-0.018545688	0.0569496450978852	0.0251967951066807
LIPID-P-0201	0.0573851200969845	-0.007560258	-0.008224324	0.0554768653623844	0.0116113659424595
LIPID-P-0216	0.0544163578061883	0.0252293925546572	-0.014395112	0.072108064901509	0.00193709925055538
LIPID-P-0217	0.0289440441982815	-0.036978817	-0.090959078	0.0177428494212681	-0.039203801
LIPID-P-0218	0.0218187370729744	-0.026503934	-0.028540301	0.0200555629914538	-0.024526765
LIPID-P-0219	0.0172429748700935	-0.023150426	-0.030941878	0.0109205297028078	-0.061619876
LIPID-P-0239	0.049236756016417	0.0465659858509498	-0.014038278	0.0472473205899499	0.0471126868450294
LIPID-P-0252	-0.001822161	-0.057920022	-0.054061623	0.00100046172973076	-0.028994258
LIPID-P-0243	0.0453434944960369	0.0190933636749266	-0.043566238	0.0421613891850023	-0.020584721
LIPID-P-0245	0.00239592442982273	-0.016981313	-0.059881131	-0.005538791	-0.052498665
LIPID-P-0246	0.0175073164569814	-0.000259485	-0.053745848	-0.008035463	-0.071348592
LIPID-P-0240	-0.01599504	0.000760467797589713	-0.06032081	-0.006179745	-0.062467708
LIPID-P-0257	-0.001494098	-0.019823987	-0.038988942	0.0187993685111737	-0.034503294
LIPID-P-1672	-0.021054799	-0.033341897	0.0482666452811584	-0.000655547	-0.018744477
LIPID-P-1639	0.106629279510635	0.0234754812758231	-0.056307229	0.0268542552275265	0.0158187080827962
LIPID-P-1678	0.0403772030890675	-0.038589518	-0.008292359	0.033057164280254	0.00219303965878094
