SampleID,V1,V2,V3,breed,application,shape_id
SHCC192A,0.022001690141677337,-0.10087384,-0.008542283,SRD,dual_type,SRD-JiAn
SHCC193A,0.06853835882216208,-0.076288596,-0.005914001,SRD,dual_type,SRD-JiAn
SHCC194A,0.10047822776339028,-0.046958882,0.03532768808207868,SRD,dual_type,SRD-JiAn
SHCC195A,0.10242869873512553,0.033665065336314914,-0.091130144,SRD,dual_type,SRD-JiAn
SHCC196A,-0.14746803,0.003166675697800108,0.1348120567076378,SRD,dual_type,SRD-JiAn
SHCC197A,0.03290156606526257,-0.094700535,-0.024606661,SRD,dual_type,SRD-JiAn
SHCC198A,0.1531134364968051,0.010949906723138711,0.053650489082291704,SRD,dual_type,SRD-JiAn
SHCC199A,-0.021600046,-0.064574369,-0.014991268,SRD,dual_type,SRD-JiAn
SHCC19A,0.23169174567917236,0.2902410631354453,0.0809915805316392,SRD,dual_type,SRD-JiAn
SHCC1A,-0.009395245,-0.127912322,-0.061563382,SRD,dual_type,SRD-JiAn
SHCC200A,0.078146488272712325,-0.001217709,0.046867851282867426,SRD,dual_type,SRD-JiAn
SHCC201A,-0.026424851,-0.09865042,0.004538093082468573,SRD,dual_type,SRD-JiAn
SHCC202A,-0.00252546,-0.097692685,0.022975053208814676,SRD,dual_type,SRD-JiAn
SHCC203A,0.04780304700427738,-0.027432355,0.05086549666323431,SRD,dual_type,SRD-JiAn
SHCC204B,-0.053209001,-0.083405242,-1.82E-04,SRD,dual_type,SRD-JiAn
SHCC205A,0.031146465670295047,-0.049657517,0.025483344940971927,SRD,dual_type,SRD-JiAn
SHCC206A,-0.010067444,-0.081031081,0.02906513053019464,SRD,dual_type,SRD-JiAn
SHCC207A,0.030985500954681767,-0.066518852,0.014838027139440161,SRD,dual_type,SRD-JiAn
SHCC208A,0.04230777667108112,-0.069447735,-0.013017221,SRD,dual_type,SRD-JiAn
SHCC209A,0.042884021633155474,-0.013769073,-0.010314912,SRD,dual_type,SRD-JiAn
SHCC20A,0.14474281243382509,0.009465097045315507,0.06265639916315002,SRD,dual_type,SRD-JiAn
