Sample,total_abundance,gut_locations
SHCC208A,466.484882,large_intestine
SHCC209A,460.146515,large_intestine
SHCC20A,357.942584,large_intestine
SHCC210A,566.304337,large_intestine
SHCC211A,354.184498,large_intestine
SHCC212A,518.150956,large_intestine
SHCC213A,451.317607,large_intestine
SHCC214A,431.001792,large_intestine
SHCC215A,392.647553,large_intestine
SHCC216A,399.419268,large_intestine
SHCC217A,536.195437,large_intestine
SHCC218A,465.116375,large_intestine
SHCC219A,496.962379,large_intestine
SHCC21A,244.837168,large_intestine
SHCC220A,274.709826,large_intestine
SHCC221A,457.874062,large_intestine
SHCC222A,397.332022,large_intestine
SHCC223A,408.127822,large_intestine
SHCC224A,526.828139,large_intestine
SHCC225B,421.514264,large_intestine
SHCC226A,460.228078,large_intestine
SHCC227A,498.343096,large_intestine
SHCC228A,512.368393,large_intestine
SHCC229A,471.570069,large_intestine
SHCC22A,110.334202,large_intestine
SHCC230A,452.496948,large_intestine
SHCC231A,428.882743,large_intestine
SHCC232A,472.702449,large_intestine
SHCC233A,228.604119,large_intestine
SHCC234B,395.686498,large_intestine
SHCC235A,527.839096,large_intestine
SHCC236A,466.605069,large_intestine
SHCC237A,243.845668,large_intestine
SHCC238A,436.973333,large_intestine
SHCC239A,233.967474,large_intestine
SHCC23A,298.368798,large_intestine
SHCC240A,467.503528,large_intestine
SHCC241A,437.705436,large_intestine
SHCC242A,481.996998,large_intestine
SHCC243A,539.357485,large_intestine
SHCC244A,521.629867,large_intestine
SHCC245A,272.731709,large_intestine
SHCC246A,477.35268,large_intestine
SHCC247A,462.13091,large_intestine
SHCC248A,485.767514,large_intestine
SHCC249A,473.669105,large_intestine
SHCC24A,410.765094,large_intestine
SHCC250A,434.540177,large_intestine
SHCC251B,545.460025,large_intestine
SHCC252A,510.341778,large_intestine
SHCC253A,461.762716,large_intestine
SHCC254B,683.136728,large_intestine
SHCC255B,420.205446,large_intestine
SHCC256A,471.365427,large_intestine
SHCC257A,363.640957,large_intestine
SHCC258A,391.852713,large_intestine
SHCC259A,460.778009,large_intestine
SHCC25A,463.314479,large_intestine
SHCC260A,370.958723,large_intestine
SHCC261A,468.023639,large_intestine
SHCC262A,491.52292,large_intestine
SHCC263A,482.025338,large_intestine
SHCC264A,529.6213,large_intestine
SHCC265A,436.30938,large_intestine
SHCC266B,518.166278,large_intestine
SHCC267A,537.557966,large_intestine
SHCC268A,410.70114,large_intestine
SHCC269A,388.537513,large_intestine
SHCC26B,659.323644,large_intestine
SHCC270A,487.894572,large_intestine
SHCC271B,549.058312,large_intestine
SHCC272B,573.443112,large_intestine
SHCC273B,440.980794,large_intestine
SHCC274A,549.990097,large_intestine
SHCC275A,262.92579,large_intestine
SHCC276A,643.308386,large_intestine
SHCC277A,345.535776,large_intestine
SHCC278A,463.940354,large_intestine
SHCC279A,411.219895,large_intestine
SHCC27A,486.501719,large_intestine
SHCC280A,338.114749,large_intestine
SHCC281A,487.074978,large_intestine
SHCC282A,442.95935,large_intestine
SHCC283A,445.96618,large_intestine
SHCC284A,239.856867,large_intestine
SHCC285A,556.921682,large_intestine
SHCC286A,201.932272,large_intestine
SHCC287A,576.476725,large_intestine
SHCC288A,594.886639,large_intestine
SHCC289A,544.97765,large_intestine
SHCC28B,419.299672,large_intestine
SHCC290A,422.483577,large_intestine
SHCC291A,141.876709,large_intestine
SHCC292A,441.504167,large_intestine
SHCC293A,400.40623,large_intestine
SHCC294A,60.930401,large_intestine
SHCC295A,157.349757,large_intestine
SHCC296A,443.050068,large_intestine
SHCC297B,502.801106,large_intestine
SHCC298A,440.454626,large_intestine
SHCC299B,565.83191,large_intestine
SHCC29A,581.99507,large_intestine
SHCC2A,261.199948,large_intestine
SHCC300A,473.042821,large_intestine
SHCC30A,368.686359,large_intestine
SHCC31A,531.718984,large_intestine
SHCC32A,427.068133,large_intestine
SHCC33A,535.946557,large_intestine
SHCC34A,221.870468,large_intestine
SHCC35A,537.038826,large_intestine
SHCC36A,437.836387,large_intestine
