Sample,high_risk_ARG_abundance,gut_locations
SHCC288A,339.471132,large_intestine
SHCC289A,305.367008,large_intestine
SHCC28B,231.98886299999998,large_intestine
SHCC290A,229.60351599999998,large_intestine
SHCC291A,46.14892,large_intestine
SHCC292A,245.51802899999998,large_intestine
SHCC293A,209.08943,large_intestine
SHCC294A,11.665975,large_intestine
SHCC295A,62.047807,large_intestine
SHCC296A,245.272921,large_intestine
SHCC297B,247.726871,large_intestine
SHCC298A,219.770073,large_intestine
SHCC299B,258.458949,large_intestine
SHCC29A,273.562567,large_intestine
SHCC2A,130.290376,large_intestine
SHCC300A,269.607861,large_intestine
SHCC30A,212.359771,large_intestine
SHCC31A,287.753398,large_intestine
SHCC32A,256.51349200000004,large_intestine
SHCC33A,308.90282,large_intestine
SHCC34A,83.60954100000001,large_intestine
SHCC35A,293.452167,large_intestine
SHCC36A,241.629867,large_intestine
SHCC37A,121.222766,large_intestine
SHCC38A,264.210779,large_intestine
SHCC39A,299.316538,large_intestine
SHCC3A,250.390074,large_intestine
SHCC40A,61.808706,large_intestine
SHCC41A,282.50000800000004,large_intestine
SHCC42A,274.228095,large_intestine
SHCC43A,255.086577,large_intestine
SHCC44A,311.61149,large_intestine
SHCC45A,283.05299099999996,large_intestine
SHCC46B,270.340682,large_intestine
SHCC47A,300.581421,large_intestine
SHCC48A,157.07007000000002,large_intestine
SHCC49A,236.795435,large_intestine
SHCC4A,341.302346,large_intestine
SHCC50A,275.85804,large_intestine
SHCC51A,319.44834,large_intestine
SHCC52A,202.55796600000002,large_intestine
SHCC53A,249.98614899999998,large_intestine
SHCC54A,314.72558399999997,large_intestine
SHCC55A,224.096587,large_intestine
SHCC56A,263.66276999999997,large_intestine
SHCC57B,316.688429,large_intestine
SHCC58A,254.116775,large_intestine
SHCC59A,217.71902699999998,large_intestine
SHCC5A,320.89114,large_intestine
SHCC60A,206.800704,large_intestine
SHCC61A,238.719191,large_intestine
SHCC62A,145.907626,large_intestine
SHCC63A,205.423368,large_intestine
SHCC64A,174.04671100000002,large_intestine
SHCC65A,328.835367,large_intestine
SHCC66A,267.293782,large_intestine
SHCC67A,240.235717,large_intestine
SHCC68A,204.660188,large_intestine
SHCC69B,344.99575400000003,large_intestine
SHCC6A,226.625018,large_intestine
SHCC70A,220.09141599999998,large_intestine
SHCC71A,254.783321,large_intestine
SHCC72A,162.285504,large_intestine
SHCC73A,295.954962,large_intestine
SHCC74A,269.816137,large_intestine
SHCC75A,260.396813,large_intestine
SHCC76A,311.521524,large_intestine
SHCC77B,247.601283,large_intestine
