Sample,total_abundance,gut_locations
GCH209B,206.314628,GS
SHCC237A,205.327481,CC
SRR29429234,204.320787,CC
SRR29472732,203.976383,CC
FDM14A,202.98196,Feces
FDM27B,200.065702,Feces
SHCC284A,198.575359,CC
SHCC37A,195.31019,CC
SHCC233A,189.199122,CC
CCS26A,188.749021,CC
MCH108B,186.479021,MS
SHCC239A,186.328184,CC
SHCC19A,184.486312,CC
FDM24B,183.322281,Feces
SHCC34A,182.413378,CC
SHIC174A,179.141432,IC
SHCC286A,176.67972,CC
SHMC212B,172.122545,MS
CCS16B,171.570625,CC
SRR29429233,170.333447,CC
SRR27680222,170.275064,IC
SRR21163451,170.272179,IC
CCS27A,169.407156,CC
SRR27680227,169.115843,IC
SRR21163455,169.074528,IC
FDM30A,159.199008,Feces
GCH227B,157.401939,GS
FJY45A,156.492945,Feces
SHCC295A,144.302346,CC
SHCC129A,142.379575,CC
BKDN170794156-1A,137.139456,Feces
MCH325B,132.087665,MS
MCH324B,132.017337,MS
SHCC127A,128.756538,CC
SRR29536172,126.831118,CC
SRR29354210,126.35053,CC
FDM12B,125.216431,Feces
SHCC40A,124.432759,CC
SRR27680228,123.539907,IC
SRR21163456,123.428717,IC
SRR21163452,121.794812,IC
SRR27680223,121.700183,IC
SHCC14A,121.409672,CC
SHCC291A,119.185476,CC
FDM21B,118.335357,Feces
SHIC214A,111.372755,IC
GCH277A,111.2024,GS
FJY59A,109.343041,Feces
SRR29429235,107.467618,CC
SHCC120A,104.157188,CC
SHMC47B,103.973965,MS
SRR21163510,98.864431,DC
SRR21163512,97.518421,DC
MCH328B,96.499763,MS
GCH221A,95.674655,GS
SHMC262B,91.428051,MS
MCH74B,91.154292,MS
SHCC22A,90.856689,CC
MCH277B,89.10952,MS
SHMC213B,88.14836,MS
FJY35A,87.904559,Feces
GCH111B,85.800603,GS
MCH340B,85.480221,MS
MCH119B,83.473838,MS
SHMC239B,81.596456,MS
SRR21163530,79.779916,CR
ICH180-1A,75.047911,IC
MCH295B,72.083271,MS
